Do every (non-ABS),Do every (ABS),Printer part,Maintenance,Link,Freq (non-ABS),Freq (ABS)
Before print,Before print,Nozzle wiper,"Inspect, clean and replace if damaged.",https://wiki.bambulab.com/en/x1/maintenance/basic-maintenance#nozzle-wiper,0,0
1 week,1 week,Part cooling fans,"Inspect, clean debris with compressed air",https://wiki.bambulab.com/en/x1/maintenance/basic-maintenance#part-cooling-fans,1,1
1 week,1 week,Enclosure,Vacuum debris,,1,1
1 week,1 week,Extruder assembly,"Inspect yellow gear: compressed air if dusty, replace if gear worn",https://wiki.bambulab.com/en/x1/maintenance/basic-maintenance#extruder-assembly,1,1
1 month,After 5 rolls (5 kg),X-axis carbon rods,Isopropyl alcohol wipe,https://wiki.bambulab.com/en/x1/maintenance/basic-maintenance#x-axis-carbon-rods,2,1
1 month,After 5 rolls (5 kg),Y-axis and Z-axis linear rods and bearings,"Isopropyl alcohol wipe, anti-rust oil",https://wiki.bambulab.com/en/x1/maintenance/basic-maintenance#y-axis-and-z-axis-linear-rods-and-bearings,2,1
3 months,1 week,Chamber camera,Wipe lens with isopropyl alcohol,https://wiki.bambulab.com/en/x1/maintenance/basic-maintenance#chamber-camera,3,1
3 months,3 months,Z-axis lead screws,Clean and grease,https://wiki.bambulab.com/en/x1/maintenance/basic-maintenance#z-axis-lead-screws,3,3
3 months or when changing filament type,3 months or when changing filament type,Hotend cleaning,Follow procedure in link,https://wiki.bambulab.com/en/x1/maintenance/basic-maintenance#hotend-cleaning,3,3
3 months,3 months,Hotend silicone sock,Inspect: replace if worn,https://wiki.bambulab.com/en/x1/maintenance/basic-maintenance#hotend-silicone-sock,3,3
3 months,3 months,PTFE tube coupler,"Inspect: replace if worn.",https://wiki.bambulab.com/en/x1/maintenance/basic-maintenance#ptfe-tube-coupler,3,3
After 3-5 rolls,After 1-2 rolls,Filament cutter,"Inspect: replace if dull or deformed",https://wiki.bambulab.com/en/x1/maintenance/basic-maintenance#filament-cutter,4,1
As required,As required,AMS desiccant,Replace,,4,4
Error message,3-5 days,Bambu micro lidar,Wipe lens with isopropyl alcohol,https://wiki.bambulab.com/en/x1/maintenance/basic-maintenance#bambu-micro-lidar,5,0
When squeaking,When squeaking,Idler pulley,Lubricate with synthetic oil,https://wiki.bambulab.com/en/x1/maintenance/basic-maintenance#idler-pulley,5,5
Every 720 hours (30 full days) of print time,Every 720 hours (30 full days) of print time,Activated carbon air filter,Replace,https://wiki.bambulab.com/en/x1/maintenance/basic-maintenance#activated-carbon-air-filter,5,5